n,code,depth1,dpeth2,depth3,gridX,gridY,lonHour,lonMin,lonSec,latHour,latMin,latSec,longitude,latitude,
kor,1100000000,서울특별시,,,60,127,126,58,48.03,37,33,48.85,126.98000833333300,37.56356944444440,
kor,1111000000,서울특별시,종로구,,60,127,126,58,53.91,37,34,13.36,126.98164166666700,37.57037777777780,
kor,1114000000,서울특별시,중구,,60,127,126,59,58.71,37,33,39.61,126.99964166666700,37.56100277777780,
kor,1117000000,서울특별시,용산구,,60,126,126,58,3.08,37,32,9.94,126.96752222222200,37.536094444444400,
kor,1120000000,서울특별시,성동구,,61,127,127,2,20.4,37,33,38.2,127.039,37.56061111111110,
kor,1121500000,서울특별시,광진구,,62,126,127,5,4.32,37,32,8.66,127.08453333333300,37.535738888888900,
kor,1123000000,서울특별시,동대문구,,61,127,127,2,31.71,37,34,17.85,127.04214166666700,37.571625000000000,
kor,1126000000,서울특별시,중랑구,,62,128,127,5,41.2,37,36,13.7,127.09477777777800,37.60380555555560,
kor,1129000000,서울특별시,성북구,,61,127,127,1,13.2,37,35,10.98,127.02033333333300,37.58638333333330,
kor,1130500000,서울특별시,강북구,,61,128,127,1,39.79,37,38,13.04,127.02771944444400,37.63695555555560,
kor,1132000000,서울특별시,도봉구,,61,129,127,2,58.28,37,39,57.0,127.04952222222200,37.66583333333330,
kor,1135000000,서울특별시,노원구,,61,129,127,3,30.2,37,39,5.26,127.05838888888900,37.65146111111110,
kor,1138000000,서울특별시,은평구,,59,127,126,55,52.47,37,35,59.89,126.93124166666700,37.59996944444450,
kor,1141000000,서울특별시,서대문구,,59,127,126,56,20.03,37,34,34.92,126.93889722222200,37.57636666666670,
kor,1144000000,서울특별시,마포구,,59,127,126,54,37.91,37,33,38.54,126.91053055555600,37.56070555555560,
kor,1147000000,서울특별시,양천구,,58,126,126,52,7.35,37,30,51.23,126.86870833333300,37.51423055555560,
kor,1150000000,서울특별시,강서구,,58,126,126,51,6.03,37,32,53.36,126.851675,37.54815555555560,
kor,1153000000,서울특별시,구로구,,58,125,126,53,22.55,37,29,33.54,126.88959722222200,37.49265,
kor,1154500000,서울특별시,금천구,,59,124,126,54,15.11,37,26,56.79,126.90419722222200,37.44910833333330,
kor,1156000000,서울특별시,영등포구,,58,126,126,53,54.03,37,31,25.0,126.89834166666700,37.52361111111110,
kor,1159000000,서울특별시,동작구,,59,125,126,56,29.67,37,30,34.76,126.941575,37.509655555555600,
kor,1162000000,서울특별시,관악구,,59,125,126,57,13.84,37,28,31.39,126.95384444444400,37.47538611111110,
kor,1165000000,서울특별시,서초구,,61,125,127,2,5.32,37,28,50.83,127.03481111111100,37.480786111111100,
kor,1168000000,서울특별시,강남구,,61,126,127,2,58.4,37,30,52.47,127.04955555555600,37.514575,
kor,1171000000,서울특별시,송파구,,62,126,127,6,28.55,37,30,42.32,127.10793055555600,37.51175555555560,
